Aviao,Vez,OP1,OP2,OP3,OP4,aux,Tpermanencia,Toperacao
1,1,"15,25","34,83","20,52","17,15","87,64","87,64","87,64"
2,1,"11,85","41,73","24,31","13,58","42,81","130,45","115,2"
3,1,"9,4","37,63","19,52","14,99","34,05","164,5","137,4"
4,1,"13,08","36,26","28,41","15,38","46,23","210,73","174,23"
5,1,"9,37","33,4","23,09","14,77","30,14","240,87","191,29"
6,1,"12,24","30,2","25,99","14,14","31,27","272,14","213,19"
7,1,"11,15","30,39","22,59","17,75","31,4","303,54","232,35"
8,1,"12,31","28,98","21,09","15,01","23,3","326,84","244,5"
9,1,"10,25","36,85","20,35","15,59","37,75","364,59","269,94"
10,1,"10,83","36,49","22,4","12,9","33,88","398,47","293,57"
1,2,"26,47","17,61","11,64","21,23","79,75","79,75","79,75"
2,2,"26,3","18,51","13,21","17,54","26,59","106,34","79,87"
3,2,"24,64","22,57","16,25","21,13","34,84","141,18","88,41"
4,2,"29,01","24,86","12,84","21,21","26,65","167,83","90,42"
5,2,"28,86","18,2","11,37","22,42","31,08","198,91","92,49"
6,2,"26,01","22,91","13,28","21,44","22,65","221,56","86,28"
7,2,"26,81","22,47",13,"26,19","30,81","252,37","91,08"
8,2,"22,24","22,84","13,22","16,78","17,18","269,55","81,45"
9,2,"27,87","22,13","12,4","20,08","26,15","295,7","85,36"
10,2,"30,73","17,13","12,75","21,14","29,15","324,85","86,64"
1,3,"20,85","18,45","33,2",,"72,52","72,52","72,52"
2,3,"23,95","29,05","36,56",,"36,72","109,24","88,39"
3,3,"34,79","29,09","30,94",,"31,23","140,47","95,67"
4,3,"26,88","24,42","30,15",,"29,01","169,48","89,89"
5,3,"24,95","20,82","29,92",,"30,7","200,18","93,71"
6,3,"25,5","24,94","27,28",,27,"227,18","95,76"
7,3,"27,51","25,02","30,56",,"30,7","257,88","100,96"
8,3,"26,76","22,24","28,53",,"29,23","287,11","102,68"
9,3,"25,86",19,"29,54",,"28,69","315,8","104,61"
10,3,"33,7","20,51","26,26",,"26,41","342,21","105,16"
